,column_name,no_results(duplicates),no_results(no duplicates),results,vocab_list
10,prev symbol,2,2,"['http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Approved_Symbol', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Date_Symbol_Changed']",['http://data.bioontology.org/ontologies/HUGO']
11,prev name,11,7,"['http://www.biopax.org/release/biopax-level3.owl#name', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Approved_Name', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Date_Name_Changed', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Name_Aliases', 'http://www.biopax.org/release/biopax-level3.owl#displayName', 'http://www.biopax.org/release/biopax-level3.owl#standardName', 'http://www.geneontology.org/formats/oboInOwl#hasOBONamespace']","['http://data.bioontology.org/ontologies/BP', 'http://data.bioontology.org/ontologies/HUGO', 'http://data.bioontology.org/ontologies/GO', 'http://data.bioontology.org/ontologies/GO-EXT', 'http://data.bioontology.org/ontologies/PW', 'http://data.bioontology.org/ontologies/NIGO', 'http://data.bioontology.org/ontologies/MEGO']"
12,gene family,8,8,"['http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Gene_Family_Tag', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Ensembl_Gene_ID', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Entrez_Gene_ID', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#KZNF_Gene_Catalog_ID', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#IMGT_GENE-DB_ID', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#KZNF_Gene_Catalog_LINK', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#IMGT_GENE-DB_LINK', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Entrez_Gene_ID__mapped_data_supplied_by_NCBI_']",['http://data.bioontology.org/ontologies/HUGO']
13,gene family id,29,19,"['http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Gene_Family_Tag', 'http://www.geneontology.org/formats/oboInOwl#id', 'http://www.biopax.org/release/biopax-level3.owl#id', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Entrez_Gene_ID__mapped_data_supplied_by_NCBI_', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Ensembl_Gene_ID', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Entrez_Gene_ID', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#KZNF_Gene_Catalog_ID', 'http://www.biopax.org/release/biopax-level3.owl#idVersion', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#IMGT_GENE-DB_ID', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#KZNF_Gene_Catalog_LINK', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#GDB_ID__mapped_data_', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#IMGT_GENE-DB_LINK', 'http://www.geneontology.org/formats/oboInOwl#hasAlternativeId', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Ensembl_ID__mapped_data_supplied_by_Ensembl_', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Mouse_Genome_Database_ID__mapped_data_supplied_by_MGI_', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#OMIM_ID__mapped_data_supplied_by_NCBI_', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Rat_Genome_Database_ID__mapped_data_supplied_by_RGD_', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#UCSC_ID__mapped_data_supplied_by_UCSC_', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#UniProt_ID__mapped_data_supplied_by_UniProt_']","['http://data.bioontology.org/ontologies/HUGO', 'http://data.bioontology.org/ontologies/GO', 'http://data.bioontology.org/ontologies/GO-EXT', 'http://data.bioontology.org/ontologies/PW', 'http://data.bioontology.org/ontologies/GEXO', 'http://data.bioontology.org/ontologies/BP', 'http://data.bioontology.org/ontologies/NIGO', 'http://data.bioontology.org/ontologies/MEGO', 'http://data.bioontology.org/ontologies/GMM']"
14,date approved reserved,18,10,"['http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Date_Approved', 'http://purl.obolibrary.org/obo/go#syngo_official_label', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Approved_Name', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Approved_Symbol', 'http://purl.org/dc/elements/1.1/date', 'http://www.geneontology.org/formats/oboInOwl#date', 'http://www.geneontology.org/formats/oboInOwl#creation_date', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Date_Modified', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Date_Name_Changed', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Date_Symbol_Changed']","['http://data.bioontology.org/ontologies/HUGO', 'http://data.bioontology.org/ontologies/GO', 'http://data.bioontology.org/ontologies/GO-EXT', 'http://data.bioontology.org/ontologies/PW', 'http://data.bioontology.org/ontologies/GRO', 'http://data.bioontology.org/ontologies/NIGO', 'http://data.bioontology.org/ontologies/MEGO', 'http://data.bioontology.org/ontologies/GMM']"
15,date symbol changed,16,8,"['http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Date_Symbol_Changed', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Date_Name_Changed', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Approved_Symbol', 'http://purl.org/dc/elements/1.1/date', 'http://www.geneontology.org/formats/oboInOwl#date', 'http://www.geneontology.org/formats/oboInOwl#creation_date', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Date_Approved', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Date_Modified']","['http://data.bioontology.org/ontologies/HUGO', 'http://data.bioontology.org/ontologies/GO', 'http://data.bioontology.org/ontologies/GO-EXT', 'http://data.bioontology.org/ontologies/PW', 'http://data.bioontology.org/ontologies/GRO', 'http://data.bioontology.org/ontologies/NIGO', 'http://data.bioontology.org/ontologies/MEGO', 'http://data.bioontology.org/ontologies/GMM']"
16,date name changed,25,13,"['http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Date_Name_Changed', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Date_Symbol_Changed', 'http://www.biopax.org/release/biopax-level3.owl#name', 'http://purl.org/dc/elements/1.1/date', 'http://www.geneontology.org/formats/oboInOwl#date', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Approved_Name', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Name_Aliases', 'http://www.biopax.org/release/biopax-level3.owl#displayName', 'http://www.biopax.org/release/biopax-level3.owl#standardName', 'http://www.geneontology.org/formats/oboInOwl#creation_date', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Date_Approved', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Date_Modified', 'http://www.geneontology.org/formats/oboInOwl#hasOBONamespace']","['http://data.bioontology.org/ontologies/HUGO', 'http://data.bioontology.org/ontologies/BP', 'http://data.bioontology.org/ontologies/GO', 'http://data.bioontology.org/ontologies/GO-EXT', 'http://data.bioontology.org/ontologies/PW', 'http://data.bioontology.org/ontologies/GRO', 'http://data.bioontology.org/ontologies/NIGO', 'http://data.bioontology.org/ontologies/MEGO', 'http://data.bioontology.org/ontologies/GMM']"
17,date modified,15,7,"['http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Date_Modified', 'http://purl.org/dc/elements/1.1/date', 'http://www.geneontology.org/formats/oboInOwl#date', 'http://www.geneontology.org/formats/oboInOwl#creation_date', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Date_Approved', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Date_Name_Changed', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Date_Symbol_Changed']","['http://data.bioontology.org/ontologies/HUGO', 'http://data.bioontology.org/ontologies/GO', 'http://data.bioontology.org/ontologies/GO-EXT', 'http://data.bioontology.org/ontologies/PW', 'http://data.bioontology.org/ontologies/GRO', 'http://data.bioontology.org/ontologies/NIGO', 'http://data.bioontology.org/ontologies/MEGO', 'http://data.bioontology.org/ontologies/GMM']"
18,entrez id,23,13,"['http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Entrez_Gene_ID', 'http://www.geneontology.org/formats/oboInOwl#id', 'http://www.biopax.org/release/biopax-level3.owl#id', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Entrez_Gene_ID__mapped_data_supplied_by_NCBI_', 'http://www.biopax.org/release/biopax-level3.owl#idVersion', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#GDB_ID__mapped_data_', 'http://www.geneontology.org/formats/oboInOwl#hasAlternativeId', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Ensembl_ID__mapped_data_supplied_by_Ensembl_', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Mouse_Genome_Database_ID__mapped_data_supplied_by_MGI_', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#OMIM_ID__mapped_data_supplied_by_NCBI_', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Rat_Genome_Database_ID__mapped_data_supplied_by_RGD_', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#UCSC_ID__mapped_data_supplied_by_UCSC_', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#UniProt_ID__mapped_data_supplied_by_UniProt_']","['http://data.bioontology.org/ontologies/HUGO', 'http://data.bioontology.org/ontologies/GO', 'http://data.bioontology.org/ontologies/GO-EXT', 'http://data.bioontology.org/ontologies/PW', 'http://data.bioontology.org/ontologies/GEXO', 'http://data.bioontology.org/ontologies/BP', 'http://data.bioontology.org/ontologies/NIGO', 'http://data.bioontology.org/ontologies/MEGO', 'http://data.bioontology.org/ontologies/GMM']"
19,ensembl gene id,29,19,"['http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Ensembl_Gene_ID', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Ensembl_ID__mapped_data_supplied_by_Ensembl_', 'http://www.geneontology.org/formats/oboInOwl#id', 'http://www.biopax.org/release/biopax-level3.owl#id', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Entrez_Gene_ID__mapped_data_supplied_by_NCBI_', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Entrez_Gene_ID', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Gene_Family_Tag', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#KZNF_Gene_Catalog_ID', 'http://www.biopax.org/release/biopax-level3.owl#idVersion', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#IMGT_GENE-DB_ID', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#KZNF_Gene_Catalog_LINK', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#GDB_ID__mapped_data_', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#IMGT_GENE-DB_LINK', 'http://www.geneontology.org/formats/oboInOwl#hasAlternativeId', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Mouse_Genome_Database_ID__mapped_data_supplied_by_MGI_', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#OMIM_ID__mapped_data_supplied_by_NCBI_', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Rat_Genome_Database_ID__mapped_data_supplied_by_RGD_', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#UCSC_ID__mapped_data_supplied_by_UCSC_', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#UniProt_ID__mapped_data_supplied_by_UniProt_']","['http://data.bioontology.org/ontologies/HUGO', 'http://data.bioontology.org/ontologies/GO', 'http://data.bioontology.org/ontologies/GO-EXT', 'http://data.bioontology.org/ontologies/PW', 'http://data.bioontology.org/ontologies/GEXO', 'http://data.bioontology.org/ontologies/BP', 'http://data.bioontology.org/ontologies/NIGO', 'http://data.bioontology.org/ontologies/MEGO', 'http://data.bioontology.org/ontologies/GMM']"
20,vega id,23,13,"['http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#VEGA_IDs', 'http://www.geneontology.org/formats/oboInOwl#id', 'http://www.biopax.org/release/biopax-level3.owl#id', 'http://www.biopax.org/release/biopax-level3.owl#idVersion', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#GDB_ID__mapped_data_', 'http://www.geneontology.org/formats/oboInOwl#hasAlternativeId', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Ensembl_ID__mapped_data_supplied_by_Ensembl_', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Entrez_Gene_ID__mapped_data_supplied_by_NCBI_', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Mouse_Genome_Database_ID__mapped_data_supplied_by_MGI_', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#OMIM_ID__mapped_data_supplied_by_NCBI_', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Rat_Genome_Database_ID__mapped_data_supplied_by_RGD_', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#UCSC_ID__mapped_data_supplied_by_UCSC_', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#UniProt_ID__mapped_data_supplied_by_UniProt_']","['http://data.bioontology.org/ontologies/HUGO', 'http://data.bioontology.org/ontologies/GO', 'http://data.bioontology.org/ontologies/GO-EXT', 'http://data.bioontology.org/ontologies/PW', 'http://data.bioontology.org/ontologies/GEXO', 'http://data.bioontology.org/ontologies/BP', 'http://data.bioontology.org/ontologies/NIGO', 'http://data.bioontology.org/ontologies/MEGO', 'http://data.bioontology.org/ontologies/GMM']"
21,ucsc id,22,12,"['http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#UCSC_ID__mapped_data_supplied_by_UCSC_', 'http://www.geneontology.org/formats/oboInOwl#id', 'http://www.biopax.org/release/biopax-level3.owl#id', 'http://www.biopax.org/release/biopax-level3.owl#idVersion', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#GDB_ID__mapped_data_', 'http://www.geneontology.org/formats/oboInOwl#hasAlternativeId', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Ensembl_ID__mapped_data_supplied_by_Ensembl_', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Entrez_Gene_ID__mapped_data_supplied_by_NCBI_', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Mouse_Genome_Database_ID__mapped_data_supplied_by_MGI_', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#OMIM_ID__mapped_data_supplied_by_NCBI_', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Rat_Genome_Database_ID__mapped_data_supplied_by_RGD_', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#UniProt_ID__mapped_data_supplied_by_UniProt_']","['http://data.bioontology.org/ontologies/HUGO', 'http://data.bioontology.org/ontologies/GO', 'http://data.bioontology.org/ontologies/GO-EXT', 'http://data.bioontology.org/ontologies/PW', 'http://data.bioontology.org/ontologies/GEXO', 'http://data.bioontology.org/ontologies/BP', 'http://data.bioontology.org/ontologies/NIGO', 'http://data.bioontology.org/ontologies/MEGO', 'http://data.bioontology.org/ontologies/GMM']"
22,ena,0,0,[],[]
23,refseq accession,1,1,['http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Accession_Numbers'],['http://data.bioontology.org/ontologies/HUGO']
24,ccds id,23,13,"['http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#CCDS_IDs', 'http://www.geneontology.org/formats/oboInOwl#id', 'http://www.biopax.org/release/biopax-level3.owl#id', 'http://www.biopax.org/release/biopax-level3.owl#idVersion', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#GDB_ID__mapped_data_', 'http://www.geneontology.org/formats/oboInOwl#hasAlternativeId', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Ensembl_ID__mapped_data_supplied_by_Ensembl_', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Entrez_Gene_ID__mapped_data_supplied_by_NCBI_', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Mouse_Genome_Database_ID__mapped_data_supplied_by_MGI_', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#OMIM_ID__mapped_data_supplied_by_NCBI_', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Rat_Genome_Database_ID__mapped_data_supplied_by_RGD_', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#UCSC_ID__mapped_data_supplied_by_UCSC_', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#UniProt_ID__mapped_data_supplied_by_UniProt_']","['http://data.bioontology.org/ontologies/HUGO', 'http://data.bioontology.org/ontologies/GO', 'http://data.bioontology.org/ontologies/GO-EXT', 'http://data.bioontology.org/ontologies/PW', 'http://data.bioontology.org/ontologies/GEXO', 'http://data.bioontology.org/ontologies/BP', 'http://data.bioontology.org/ontologies/NIGO', 'http://data.bioontology.org/ontologies/MEGO', 'http://data.bioontology.org/ontologies/GMM']"
25,uniprot ids,0,0,[],[]
26,pubmed id,23,13,"['http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Pubmed_IDs', 'http://www.geneontology.org/formats/oboInOwl#id', 'http://www.biopax.org/release/biopax-level3.owl#id', 'http://www.biopax.org/release/biopax-level3.owl#idVersion', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#GDB_ID__mapped_data_', 'http://www.geneontology.org/formats/oboInOwl#hasAlternativeId', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Ensembl_ID__mapped_data_supplied_by_Ensembl_', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Entrez_Gene_ID__mapped_data_supplied_by_NCBI_', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Mouse_Genome_Database_ID__mapped_data_supplied_by_MGI_', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#OMIM_ID__mapped_data_supplied_by_NCBI_', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Rat_Genome_Database_ID__mapped_data_supplied_by_RGD_', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#UCSC_ID__mapped_data_supplied_by_UCSC_', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#UniProt_ID__mapped_data_supplied_by_UniProt_']","['http://data.bioontology.org/ontologies/HUGO', 'http://data.bioontology.org/ontologies/GO', 'http://data.bioontology.org/ontologies/GO-EXT', 'http://data.bioontology.org/ontologies/PW', 'http://data.bioontology.org/ontologies/GEXO', 'http://data.bioontology.org/ontologies/BP', 'http://data.bioontology.org/ontologies/NIGO', 'http://data.bioontology.org/ontologies/MEGO', 'http://data.bioontology.org/ontologies/GMM']"
