,column_name,no_results(complete),no_results(noduplicates),results,vocab_list
10,prev name,0,0,[],[]
11,gene family,7,5,"['http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C26004', 'http://purl.obolibrary.org/obo/OGI_0000081', 'http://bioentity.io/vocab/GeneFamily', 'http://purl.jp/bio/4/id/200906026582571630', 'http://edamontology.org/topic_0623']","['http://data.bioontology.org/ontologies/NCIT', 'http://data.bioontology.org/ontologies/OGI', 'http://data.bioontology.org/ontologies/BLM', 'http://data.bioontology.org/ontologies/IOBC', 'http://data.bioontology.org/ontologies/EDAM', 'http://data.bioontology.org/ontologies/SWO', 'http://data.bioontology.org/ontologies/BMT']"
12,gene family id,0,0,[],[]
13,date approved reserved,0,0,[],[]
14,date symbol changed,0,0,[],[]
15,date name changed,0,0,[],[]
16,date modified,0,0,[],[]
17,entrez id,0,0,[],[]
18,ensembl gene id,2,1,['http://edamontology.org/data_1033'],"['http://data.bioontology.org/ontologies/EDAM', 'http://data.bioontology.org/ontologies/SWO']"
19,vega id,0,0,[],[]
20,ucsc id,0,0,[],[]
21,ena,8,7,"['http://purl.bioontology.org/ontology/NCBITAXON/265226', 'http://purl.obolibrary.org/obo/GAZ_00410712', 'http://purl.bioontology.org/ontology/AIR/ENA', 'http://purl.bioontology.org/ontology/OMIM/609061', 'http://purl.obolibrary.org/obo/OGG_3000055740', 'http://identifiers.org/ncbigene/55740', 'http://purl.obolibrary.org/obo/NCBIGene_55740']","['http://data.bioontology.org/ontologies/NCBITAXON', 'http://data.bioontology.org/ontologies/GAZ', 'http://data.bioontology.org/ontologies/AI-RHEUM', 'http://data.bioontology.org/ontologies/OMIM', 'http://data.bioontology.org/ontologies/OGG', 'http://data.bioontology.org/ontologies/GEXO', 'http://data.bioontology.org/ontologies/RETO', 'http://data.bioontology.org/ontologies/REXO']"
22,refseq accession,2,1,['http://edamontology.org/data_1098'],"['http://data.bioontology.org/ontologies/EDAM', 'http://data.bioontology.org/ontologies/SWO']"
23,ccds id,0,0,[],[]
24,uniprot ids,0,0,[],[]
25,pubmed id,9,2,"['http://edamontology.org/data_1187', 'http://purl.obolibrary.org/obo/OBI_0001617']","['http://data.bioontology.org/ontologies/EDAM', 'http://data.bioontology.org/ontologies/OBI', 'http://data.bioontology.org/ontologies/SWO', 'http://data.bioontology.org/ontologies/CNO', 'http://data.bioontology.org/ontologies/OBI_BCGO', 'http://data.bioontology.org/ontologies/EGO', 'http://data.bioontology.org/ontologies/ONS', 'http://data.bioontology.org/ontologies/EUPATH', 'http://data.bioontology.org/ontologies/GENEPIO']"
26,mgd id,0,0,[],[]
27,rgd id,2,1,['http://edamontology.org/data_2620'],"['http://data.bioontology.org/ontologies/EDAM', 'http://data.bioontology.org/ontologies/SWO']"
28,lsdb,0,0,[],[]
29,cosmic,1,1,['http://purl.bioontology.org/ontology/LNC/LP212298-6'],['http://data.bioontology.org/ontologies/LOINC']
30,omim id,2,1,['http://edamontology.org/data_1153'],"['http://data.bioontology.org/ontologies/EDAM', 'http://data.bioontology.org/ontologies/SWO']"
31,mirbase,0,0,[],[]
32,homeodb,0,0,[],[]
33,snornabase,0,0,[],[]
34,bioparadigms slc,0,0,[],[]
35,orphanet,1,1,['http://purl.obolibrary.org/obo/MI_1350'],['http://data.bioontology.org/ontologies/MI']
36,pseudogene.org,0,0,[],[]
37,horde id,0,0,[],[]
38,merops,5,4,"['http://purl.bioontology.org/ontology/SNOMEDCT/423966001', 'http://purl.bioontology.org/ontology/NCBITAXON/57420', 'http://purl.obolibrary.org/obo/NCBITaxon_57420', 'http://purl.obolibrary.org/obo/VTO_0022465']","['http://data.bioontology.org/ontologies/SNOMEDCT', 'http://data.bioontology.org/ontologies/NCBITAXON', 'http://data.bioontology.org/ontologies/NIFSTD', 'http://data.bioontology.org/ontologies/GO-PLUS', 'http://data.bioontology.org/ontologies/VTO']"
39,imgt,0,0,[],[]
40,iuphar,1,1,['http://www.bioassayontology.org/bao#BAO_0000616'],['http://data.bioontology.org/ontologies/BAO']
41,kznf gene catalog,0,0,[],[]
42,mamit-trnadb,0,0,[],[]
43,cd,83,61,"['http://purl.bioontology.org/ontology/LNC/LP40493-6', 'http://purl.bioontology.org/ontology/HL7/C2697949', 'http://purl.org/net/OCRe/OCRe.owl#OCRE400055', 'http://dicom.nema.org/resources/ontology/DCM/110032', 'http://purl.obolibrary.org/obo/RS_0000177', 'http://chem.deri.ie/granatum#CD', 'http://www.hl7.org/owl/iso-dt-2.0#CD', 'http://purl.obolibrary.org/obo/MI_0016', 'http://purl.bioontology.org/ontology/CPT/CD', 'http://purl.bioontology.org/ontology/NDDF/CD', 'http://purl.bioontology.org/ontology/HCPCS/CD', 'http://purl.bioontology.org/ontology/ICD10PCS/CD', 'http://purl.obolibrary.org/obo/UO_0000014', 'http://purl.obolibrary.org/obo/CHEBI_22977', 'http://purl.bioontology.org/ontology/SNOMEDCT/39154008', 'http://purl.bioontology.org/ontology/SNOMEDCT/282254003', 'http://purl.bioontology.org/ontology/RCD/Xa22V', 'http://purl.bioontology.org/ontology/OMIM/158350', 'http://purl.bioontology.org/ontology/PDQ/CDR0000040926', 'http://www.radlex.org/RID/#RID11856', 'http://purl.bioontology.org/ontology/SNMI/G-1010', 'http://purl.obolibrary.org/obo/UBERON_0003034', 'http://purl.org/skeletome/bonedysplasia#Campomelic_dysplasia', 'http://purl.obolibrary.org/obo/GAZ_00004910', 'http://purl.obolibrary.org/obo/OGG_3000317782', 'http://purl.obolibrary.org/obo/OGG_3000001493', 'http://purl.obolibrary.org/obo/OGG_3000064127', 'http://purl.obolibrary.org/obo/OGG_3000003117', 'http://purl.obolibrary.org/obo/CHEBI_8673', 'http://purl.obolibrary.org/obo/DERMO_0000618', 'http://www.limics.org/hrdo/rdfns#gen_id_16556', 'http://www.limics.org/hrdo/rdfns#pat_id_276', 'http://purl.obolibrary.org/obo/NCBIGene_16974', 'http://purl.obolibrary.org/obo/NCBIGene_3117', 'http://purl.obolibrary.org/obo/NCBIGene_13033', 'http://purl.obolibrary.org/obo/NCBIGene_1493', 'http://purl.obolibrary.org/obo/NCBIGene_257632', 'http://purl.obolibrary.org/obo/NCBIGene_64127', 'http://identifiers.org/ncbigene/64127', 'http://purl.obolibrary.org/obo/OGG_3000013033', 'http://purl.obolibrary.org/obo/OGG_3000016974', 'http://purl.obolibrary.org/obo/OGG_3000257632', 'http://purl.obolibrary.org/obo/FIX_0000043', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C9569', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17266', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C42538', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C64208', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C80250', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C44348', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C71266', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C51345', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C74448', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C78347', 'http://www.orpha.net/ORDO/Orphanet_120878', 'http://www.orpha.net/ORDO/Orphanet_123845', 'http://identifiers.org/ncbigene/13033', 'http://identifiers.org/ncbigene/1493', 'http://identifiers.org/ncbigene/3117', 'http://identifiers.org/ncbigene/257632', 'http://identifiers.org/ncbigene/16974', 'http://purl.obolibrary.org/obo/MONDO_0016063']","['http://data.bioontology.org/ontologies/LOINC', 'http://data.bioontology.org/ontologies/HL7', 'http://data.bioontology.org/ontologies/OCRE', 'http://data.bioontology.org/ontologies/DCM', 'http://data.bioontology.org/ontologies/RS', 'http://data.bioontology.org/ontologies/CANCO', 'http://data.bioontology.org/ontologies/BRIDG', 'http://data.bioontology.org/ontologies/MI', 'http://data.bioontology.org/ontologies/CPT', 'http://data.bioontology.org/ontologies/NDDF', 'http://data.bioontology.org/ontologies/HCPCS', 'http://data.bioontology.org/ontologies/ICD10PCS', 'http://data.bioontology.org/ontologies/CHEAR', 'http://data.bioontology.org/ontologies/SNOMEDCT', 'http://data.bioontology.org/ontologies/RCD', 'http://data.bioontology.org/ontologies/OMIM', 'http://data.bioontology.org/ontologies/PDQ', 'http://data.bioontology.org/ontologies/RADLEX', 'http://data.bioontology.org/ontologies/SNMI', 'http://data.bioontology.org/ontologies/NIFSTD', 'http://data.bioontology.org/ontologies/BDO', 'http://data.bioontology.org/ontologies/ENM', 'http://data.bioontology.org/ontologies/GAZ', 'http://data.bioontology.org/ontologies/OGG', 'http://data.bioontology.org/ontologies/TEO', 'http://data.bioontology.org/ontologies/NBO', 'http://data.bioontology.org/ontologies/DINTO', 'http://data.bioontology.org/ontologies/CSEO', 'http://data.bioontology.org/ontologies/DERMO', 'http://data.bioontology.org/ontologies/HRDO', 'http://data.bioontology.org/ontologies/ECSO', 'http://data.bioontology.org/ontologies/RETO', 'http://data.bioontology.org/ontologies/REXO', 'http://data.bioontology.org/ontologies/OGG-MM', 'http://data.bioontology.org/ontologies/FIX', 'http://data.bioontology.org/ontologies/NCIT', 'http://data.bioontology.org/ontologies/EFO', 'http://data.bioontology.org/ontologies/ORDO', 'http://data.bioontology.org/ontologies/UBERON', 'http://data.bioontology.org/ontologies/CHEBI', 'http://data.bioontology.org/ontologies/UO', 'http://data.bioontology.org/ontologies/MS', 'http://data.bioontology.org/ontologies/PECO', 'http://data.bioontology.org/ontologies/GEXO', 'http://data.bioontology.org/ontologies/KTAO', 'http://data.bioontology.org/ontologies/MONDO']"
44,lncrnadb,0,0,[],[]
45,enzyme id,2,1,['http://edamontology.org/data_2321'],"['http://data.bioontology.org/ontologies/EDAM', 'http://data.bioontology.org/ontologies/SWO']"
46,intermediate filament db,0,0,[],[]
47,rna central ids,0,0,[],[]
48,hgnc id,0,0,[],[]
Total M,18,,,,
Total ,49,,,,
Precision,37%,,,,
