,column_name,no_results,results,vocab_list
10,prev name,72,"['http://purl.org/ontology/wo/name', 'http://www.biopax.org/release/biopax-level3.owl#db', 'http://purl.org/ontology/wo/phylumName', 'http://purl.org/ontology/wo/taxonomicName', 'http://purl.org/ontology/wo/genusName', 'http://purl.org/ontology/wo/className', 'http://purl.org/ontology/wo/familyName', 'http://purl.org/ontology/wo/kingdomName', 'http://purl.org/ontology/wo/commonName', 'http://purl.org/ontology/wo/orderName', 'http://purl.org/ontology/wo/scientificName', 'http://purl.org/ontology/wo/speciesName', 'http://purl.uniprot.org/core/name', 'http://purl.org/NET/biol/ns#name', 'http://purl.uniprot.org/core/orfName', 'http://purl.uniprot.org/core/scientificName', 'http://purl.uniprot.org/core/commonName', 'http://purl.uniprot.org/core/locusName', 'http://purl.uniprot.org/core/otherName', 'http://purl.org/NET/biol/ns#commonName', 'http://purl.uniprot.org/core/fullName', 'http://lod.taxonconcept.org/ontology/txn.owl#canonicalFormID', 'http://lod.taxonconcept.org/ontology/txn.owl#heterochresonymID', 'http://purl.uniprot.org/core/recommendedName', 'http://purl.org/biodiversity/taxon/canonicalFormID', 'http://lod.taxonconcept.org/ontology/txn.owl#originalNameID', 'http://lod.taxonconcept.org/ontology/txn.owl#homotypicNameID', 'http://purl.uniprot.org/core/alternativeName', 'http://lod.taxonconcept.org/ontology/txn.owl#relatedTaxonNameID', 'http://lod.taxonconcept.org/ontology/txn.owl#taxonNameID_Of', 'http://purl.uniprot.org/core/biotechName', 'http://lod.taxonconcept.org/ontology/txn.owl#orthochresonymID', 'http://lod.taxonconcept.org/ontology/txn.owl#taxonNameID', 'http://lod.taxonconcept.org/ontology/txn.owl#canonicalFormID_Of', 'http://lod.taxonconcept.org/ontology/txn.owl#heterotypicNameID', 'http://lod.taxonconcept.org/ontology/txn.owl#nameYear', 'http://purl.org/biodiversity/taxon/canonicalFormID_Of', 'http://lod.taxonconcept.org/ontology/txn.owl#taxonNameGroupID', 'http://purl.uniprot.org/core/shortName', 'http://purl.org/net/hifm/ontology#id', 'http://purl.org/net/hifm/ontology#notes', 'http://purl.org/biodiversity/taxon/binomial', 'http://purl.org/biodiversity/taxon/commonName', 'http://lod.taxonconcept.org/ontology/txn.owl#nameYearOf', 'http://purl.org/biodiversity/taxon/monomial', 'http://purl.org/biodiversity/taxon/relatedTaxonNameID_Of', 'http://lod.taxonconcept.org/ontology/txn.owl#altAcceptedNameID_Of', 'http://purl.uniprot.org/core/cdAntigenName', 'http://purl.org/biodiversity/taxon/relatedTaxonNameID', 'http://purl.org/net/hifm/ontology#dosageForm', 'http://purl.org/net/hifm/ontology#manufacturer', 'http://purl.org/net/hifm/ontology#packaging', 'http://purl.org/net/hifm/ontology#refPriceNoVAT', 'http://semanticscience.org/resource/SIO_000631', 'http://lod.taxonconcept.org/ontology/txn.owl#altAcceptedNameID', 'http://purl.uniprot.org/core/alias', 'http://purl.org/net/hifm/ontology#refPriceWithVAT', 'http://purl.org/net/hifm/ontology#similarTo', 'http://purl.org/net/hifm/ontology#strength', 'http://purl.uniprot.org/core/submittedName', 'http://purl.uniprot.org/core/internationalNonproprietaryName', 'http://lod.taxonconcept.org/ontology/txn.owl#acceptedNameID', 'http://purl.org/biodiversity/taxon/trinomial', 'http://purl.org/biodiversity/taxon/scientificName', 'http://purl.uniprot.org/core/place', 'http://www.biopax.org/release/biopax-level3.owl#displayName', 'http://www.biopax.org/release/biopax-level3.owl#standardName', 'http://www.biopax.org/release/biopax-level3.owl#name', 'http://purl.uniprot.org/core/ecName', 'http://www.ics.forth.gr/isl/MarineTLO/v4/marinetlo.owl#LC4_has_appellation', 'http://www.biopax.org/release/biopax-level3.owl#dataSource', 'http://www.ics.forth.gr/isl/MarineTLO/v4/marinetlo.owl#LC1_is_identified_by']","['uniprot', 'txn', 'wlo', 'hifm', 'taxon', 'biopax', 'biol', 'mtlo', 'sio']"
11,gene family,18,"['http://purl.org/NET/biol/botany#family', 'http://purl.org/ontology/wo/family', 'http://lod.taxonconcept.org/ontology/txn.owl#family', 'http://purl.org/ontology/wo/familyName', 'http://purl.org/NET/biol/ns#family', 'http://purl.uniprot.org/core/encodedBy', 'http://www.biopax.org/release/biopax-level3.owl#experimentalFormEntity', 'http://lod.taxonconcept.org/ontology/txn.owl#inCoLFamily', 'http://www.biopax.org/release/biopax-level3.owl#memberEntityReference', 'http://semanticscience.org/resource/SIO_000634', 'http://www.biopax.org/release/biopax-level3.owl#dbVersion', 'http://purl.uniprot.org/core/fused', 'http://purl.uniprot.org/core/domains', 'http://semanticscience.org/resource/SIO_000630', 'http://www.biopax.org/release/biopax-level3.owl#memberFeature', 'http://www.biopax.org/release/biopax-level3.owl#standardName', 'http://www.biopax.org/release/biopax-level3.owl#cellularLocation', 'http://www.biopax.org/release/biopax-level3.owl#catalysisDirection']","['biopax', 'uniprot', 'sio', 'txn', 'wlo', 'biol', 'botany']"
12,gene family id,35,"['http://purl.org/NET/biol/botany#family', 'http://purl.org/ontology/wo/family', 'http://lod.taxonconcept.org/ontology/txn.owl#family', 'http://purl.org/ontology/wo/familyName', 'http://purl.org/NET/biol/ns#family', 'http://purl.obolibrary.org/obo/IAO_0000596', 'http://purl.obolibrary.org/obo/IAO_0000603', 'http://purl.obolibrary.org/obo/IAO_0000599', 'http://purl.obolibrary.org/obo/IAO_0000597', 'http://purl.obolibrary.org/obo/IAO_0000598', 'http://lod.taxonconcept.org/ontology/txn.owl#hasITIS', 'http://lod.taxonconcept.org/ontology/txn.owl#hasNCBI', 'http://lod.taxonconcept.org/ontology/txn.owl#hasBOLD', 'http://purl.uniprot.org/core/encodedBy', 'http://lod.taxonconcept.org/ontology/txn.owl#hasEOL', 'http://lod.taxonconcept.org/ontology/txn.owl#hasGBIF', 'http://www.biopax.org/release/biopax-level3.owl#experimentalFormEntity', 'http://www.biopax.org/release/biopax-level3.owl#idVersion', 'http://lod.taxonconcept.org/ontology/txn.owl#inCoLFamily', 'http://www.biopax.org/release/biopax-level3.owl#memberEntityReference', 'http://semanticscience.org/resource/SIO_000634', 'http://www.biopax.org/release/biopax-level3.owl#dbVersion', 'http://purl.org/net/hifm/ontology#id', 'http://lod.taxonconcept.org/ontology/txn.owl#canonicalFormID', 'http://purl.org/biodiversity/taxon/canonicalFormID', 'http://lod.taxonconcept.org/ontology/txn.owl#canonicalFormID_Of', 'http://purl.org/biodiversity/taxon/canonicalFormID_Of', 'http://purl.uniprot.org/core/fused', 'http://purl.uniprot.org/core/domains', 'http://semanticscience.org/resource/SIO_000630', 'http://www.biopax.org/release/biopax-level3.owl#cellType', 'http://www.biopax.org/release/biopax-level3.owl#memberFeature', 'http://www.biopax.org/release/biopax-level3.owl#standardName', 'http://www.biopax.org/release/biopax-level3.owl#cellularLocation', 'http://www.biopax.org/release/biopax-level3.owl#catalysisDirection']","['biopax', 'txn', 'obo', 'uniprot', 'sio', 'taxon', 'wlo', 'biol', 'botany', 'hifm']"
13,date approved reserved,6,"['http://semanticscience.org/resource/SIO_000300', 'http://purl.uniprot.org/core/modified', 'http://purl.uniprot.org/core/created', 'http://www.biopax.org/release/biopax-level3.owl#dbVersion', 'http://www.ics.forth.gr/isl/MarineTLO/v4/marinetlo.owl#LC11_had_participant', 'http://www.ics.forth.gr/isl/MarineTLO/v4/marinetlo.owl#LC8_occured_in_the_presence_of']","['mtlo', 'uniprot', 'biopax', 'sio']"
14,date symbol changed,8,"['http://semanticscience.org/resource/SIO_000300', 'http://purl.uniprot.org/core/modified', 'http://semanticscience.org/resource/SIO_000205', 'http://semanticscience.org/resource/SIO_000210', 'http://purl.uniprot.org/core/created', 'http://www.biopax.org/release/biopax-level3.owl#dbVersion', 'http://www.ics.forth.gr/isl/MarineTLO/v4/marinetlo.owl#LC11_had_participant', 'http://www.ics.forth.gr/isl/MarineTLO/v4/marinetlo.owl#LC8_occured_in_the_presence_of']","['sio', 'mtlo', 'uniprot', 'biopax']"
15,date name changed,78,"['http://purl.org/ontology/wo/name', 'http://semanticscience.org/resource/SIO_000300', 'http://purl.uniprot.org/core/modified', 'http://www.biopax.org/release/biopax-level3.owl#db', 'http://purl.org/ontology/wo/phylumName', 'http://purl.org/ontology/wo/taxonomicName', 'http://purl.org/ontology/wo/genusName', 'http://purl.org/ontology/wo/className', 'http://purl.org/ontology/wo/familyName', 'http://purl.org/ontology/wo/kingdomName', 'http://purl.org/ontology/wo/commonName', 'http://purl.org/ontology/wo/orderName', 'http://purl.org/ontology/wo/scientificName', 'http://purl.org/ontology/wo/speciesName', 'http://purl.uniprot.org/core/name', 'http://purl.org/NET/biol/ns#name', 'http://purl.uniprot.org/core/orfName', 'http://purl.uniprot.org/core/scientificName', 'http://purl.uniprot.org/core/commonName', 'http://purl.uniprot.org/core/locusName', 'http://purl.uniprot.org/core/otherName', 'http://purl.org/NET/biol/ns#commonName', 'http://purl.uniprot.org/core/fullName', 'http://purl.uniprot.org/core/created', 'http://lod.taxonconcept.org/ontology/txn.owl#canonicalFormID', 'http://lod.taxonconcept.org/ontology/txn.owl#heterochresonymID', 'http://purl.uniprot.org/core/recommendedName', 'http://purl.org/biodiversity/taxon/canonicalFormID', 'http://lod.taxonconcept.org/ontology/txn.owl#originalNameID', 'http://lod.taxonconcept.org/ontology/txn.owl#homotypicNameID', 'http://purl.uniprot.org/core/alternativeName', 'http://lod.taxonconcept.org/ontology/txn.owl#relatedTaxonNameID', 'http://lod.taxonconcept.org/ontology/txn.owl#taxonNameID_Of', 'http://purl.uniprot.org/core/biotechName', 'http://lod.taxonconcept.org/ontology/txn.owl#orthochresonymID', 'http://lod.taxonconcept.org/ontology/txn.owl#taxonNameID', 'http://lod.taxonconcept.org/ontology/txn.owl#canonicalFormID_Of', 'http://lod.taxonconcept.org/ontology/txn.owl#heterotypicNameID', 'http://lod.taxonconcept.org/ontology/txn.owl#nameYear', 'http://purl.org/biodiversity/taxon/canonicalFormID_Of', 'http://lod.taxonconcept.org/ontology/txn.owl#taxonNameGroupID', 'http://purl.uniprot.org/core/shortName', 'http://purl.org/net/hifm/ontology#id', 'http://purl.org/net/hifm/ontology#notes', 'http://purl.org/biodiversity/taxon/binomial', 'http://purl.org/biodiversity/taxon/commonName', 'http://lod.taxonconcept.org/ontology/txn.owl#nameYearOf', 'http://purl.org/biodiversity/taxon/monomial', 'http://purl.org/biodiversity/taxon/relatedTaxonNameID_Of', 'http://lod.taxonconcept.org/ontology/txn.owl#altAcceptedNameID_Of', 'http://purl.uniprot.org/core/cdAntigenName', 'http://purl.org/biodiversity/taxon/relatedTaxonNameID', 'http://purl.org/net/hifm/ontology#dosageForm', 'http://purl.org/net/hifm/ontology#manufacturer', 'http://purl.org/net/hifm/ontology#packaging', 'http://purl.org/net/hifm/ontology#refPriceNoVAT', 'http://semanticscience.org/resource/SIO_000631', 'http://lod.taxonconcept.org/ontology/txn.owl#altAcceptedNameID', 'http://purl.uniprot.org/core/alias', 'http://purl.org/net/hifm/ontology#refPriceWithVAT', 'http://purl.org/net/hifm/ontology#similarTo', 'http://purl.org/net/hifm/ontology#strength', 'http://purl.uniprot.org/core/submittedName', 'http://purl.uniprot.org/core/internationalNonproprietaryName', 'http://lod.taxonconcept.org/ontology/txn.owl#acceptedNameID', 'http://purl.org/biodiversity/taxon/trinomial', 'http://purl.org/biodiversity/taxon/scientificName', 'http://purl.uniprot.org/core/place', 'http://www.biopax.org/release/biopax-level3.owl#displayName', 'http://www.biopax.org/release/biopax-level3.owl#standardName', 'http://www.biopax.org/release/biopax-level3.owl#name', 'http://purl.uniprot.org/core/ecName', 'http://www.biopax.org/release/biopax-level3.owl#dbVersion', 'http://www.ics.forth.gr/isl/MarineTLO/v4/marinetlo.owl#LC4_has_appellation', 'http://www.biopax.org/release/biopax-level3.owl#dataSource', 'http://www.ics.forth.gr/isl/MarineTLO/v4/marinetlo.owl#LC11_had_participant', 'http://www.ics.forth.gr/isl/MarineTLO/v4/marinetlo.owl#LC8_occured_in_the_presence_of', 'http://www.ics.forth.gr/isl/MarineTLO/v4/marinetlo.owl#LC1_is_identified_by']","['uniprot', 'txn', 'wlo', 'hifm', 'taxon', 'biopax', 'mtlo', 'biol', 'sio']"
16,date modified,8,"['http://purl.uniprot.org/core/modified', 'http://semanticscience.org/resource/SIO_000300', 'http://purl.uniprot.org/core/basedOn', 'http://purl.uniprot.org/core/created', 'http://www.biopax.org/release/biopax-level3.owl#featureLocation', 'http://www.biopax.org/release/biopax-level3.owl#dbVersion', 'http://www.ics.forth.gr/isl/MarineTLO/v4/marinetlo.owl#LC11_had_participant', 'http://www.ics.forth.gr/isl/MarineTLO/v4/marinetlo.owl#LC8_occured_in_the_presence_of']","['uniprot', 'biopax', 'mtlo', 'sio']"
17,entrez id,17,"['http://purl.obolibrary.org/obo/IAO_0000596', 'http://purl.obolibrary.org/obo/IAO_0000603', 'http://purl.obolibrary.org/obo/IAO_0000599', 'http://purl.obolibrary.org/obo/IAO_0000597', 'http://purl.obolibrary.org/obo/IAO_0000598', 'http://lod.taxonconcept.org/ontology/txn.owl#hasITIS', 'http://lod.taxonconcept.org/ontology/txn.owl#hasNCBI', 'http://lod.taxonconcept.org/ontology/txn.owl#hasBOLD', 'http://lod.taxonconcept.org/ontology/txn.owl#hasEOL', 'http://lod.taxonconcept.org/ontology/txn.owl#hasGBIF', 'http://www.biopax.org/release/biopax-level3.owl#idVersion', 'http://purl.org/net/hifm/ontology#id', 'http://lod.taxonconcept.org/ontology/txn.owl#canonicalFormID', 'http://purl.org/biodiversity/taxon/canonicalFormID', 'http://lod.taxonconcept.org/ontology/txn.owl#canonicalFormID_Of', 'http://purl.org/biodiversity/taxon/canonicalFormID_Of', 'http://www.biopax.org/release/biopax-level3.owl#cellType']","['txn', 'obo', 'biopax', 'taxon', 'hifm']"
18,ensembl gene id,25,"['http://purl.obolibrary.org/obo/IAO_0000596', 'http://purl.obolibrary.org/obo/IAO_0000603', 'http://purl.obolibrary.org/obo/IAO_0000599', 'http://purl.obolibrary.org/obo/IAO_0000597', 'http://purl.obolibrary.org/obo/IAO_0000598', 'http://lod.taxonconcept.org/ontology/txn.owl#hasITIS', 'http://lod.taxonconcept.org/ontology/txn.owl#hasNCBI', 'http://lod.taxonconcept.org/ontology/txn.owl#hasBOLD', 'http://purl.uniprot.org/core/encodedBy', 'http://lod.taxonconcept.org/ontology/txn.owl#hasEOL', 'http://lod.taxonconcept.org/ontology/txn.owl#hasGBIF', 'http://www.biopax.org/release/biopax-level3.owl#experimentalFormEntity', 'http://www.biopax.org/release/biopax-level3.owl#idVersion', 'http://semanticscience.org/resource/SIO_000634', 'http://www.biopax.org/release/biopax-level3.owl#dbVersion', 'http://purl.org/net/hifm/ontology#id', 'http://lod.taxonconcept.org/ontology/txn.owl#canonicalFormID', 'http://purl.org/biodiversity/taxon/canonicalFormID', 'http://lod.taxonconcept.org/ontology/txn.owl#canonicalFormID_Of', 'http://purl.org/biodiversity/taxon/canonicalFormID_Of', 'http://semanticscience.org/resource/SIO_000630', 'http://www.biopax.org/release/biopax-level3.owl#cellType', 'http://www.biopax.org/release/biopax-level3.owl#standardName', 'http://www.biopax.org/release/biopax-level3.owl#cellularLocation', 'http://www.biopax.org/release/biopax-level3.owl#catalysisDirection']","['biopax', 'txn', 'obo', 'sio', 'taxon', 'hifm', 'uniprot']"
19,vega id,17,"['http://purl.obolibrary.org/obo/IAO_0000596', 'http://purl.obolibrary.org/obo/IAO_0000603', 'http://purl.obolibrary.org/obo/IAO_0000599', 'http://purl.obolibrary.org/obo/IAO_0000597', 'http://purl.obolibrary.org/obo/IAO_0000598', 'http://lod.taxonconcept.org/ontology/txn.owl#hasITIS', 'http://lod.taxonconcept.org/ontology/txn.owl#hasNCBI', 'http://lod.taxonconcept.org/ontology/txn.owl#hasBOLD', 'http://lod.taxonconcept.org/ontology/txn.owl#hasEOL', 'http://lod.taxonconcept.org/ontology/txn.owl#hasGBIF', 'http://www.biopax.org/release/biopax-level3.owl#idVersion', 'http://purl.org/net/hifm/ontology#id', 'http://lod.taxonconcept.org/ontology/txn.owl#canonicalFormID', 'http://purl.org/biodiversity/taxon/canonicalFormID', 'http://lod.taxonconcept.org/ontology/txn.owl#canonicalFormID_Of', 'http://purl.org/biodiversity/taxon/canonicalFormID_Of', 'http://www.biopax.org/release/biopax-level3.owl#cellType']","['txn', 'obo', 'biopax', 'taxon', 'hifm']"
20,ucsc id,17,"['http://purl.obolibrary.org/obo/IAO_0000596', 'http://purl.obolibrary.org/obo/IAO_0000603', 'http://purl.obolibrary.org/obo/IAO_0000599', 'http://purl.obolibrary.org/obo/IAO_0000597', 'http://purl.obolibrary.org/obo/IAO_0000598', 'http://lod.taxonconcept.org/ontology/txn.owl#hasITIS', 'http://lod.taxonconcept.org/ontology/txn.owl#hasNCBI', 'http://lod.taxonconcept.org/ontology/txn.owl#hasBOLD', 'http://lod.taxonconcept.org/ontology/txn.owl#hasEOL', 'http://lod.taxonconcept.org/ontology/txn.owl#hasGBIF', 'http://www.biopax.org/release/biopax-level3.owl#idVersion', 'http://purl.org/net/hifm/ontology#id', 'http://lod.taxonconcept.org/ontology/txn.owl#canonicalFormID', 'http://purl.org/biodiversity/taxon/canonicalFormID', 'http://lod.taxonconcept.org/ontology/txn.owl#canonicalFormID_Of', 'http://purl.org/biodiversity/taxon/canonicalFormID_Of', 'http://www.biopax.org/release/biopax-level3.owl#cellType']","['txn', 'obo', 'biopax', 'taxon', 'hifm']"
21,ena,2,"['http://lod.taxonconcept.org/ontology/txn.owl#surrogateName', 'http://purl.uniprot.org/core/alternativeName']","['txn', 'uniprot']"
22,refseq accession,1,['http://www.biopax.org/release/biopax-level3.owl#idVersion'],['biopax']
23,ccds id,17,"['http://purl.obolibrary.org/obo/IAO_0000596', 'http://purl.obolibrary.org/obo/IAO_0000603', 'http://purl.obolibrary.org/obo/IAO_0000599', 'http://purl.obolibrary.org/obo/IAO_0000597', 'http://purl.obolibrary.org/obo/IAO_0000598', 'http://lod.taxonconcept.org/ontology/txn.owl#hasITIS', 'http://lod.taxonconcept.org/ontology/txn.owl#hasNCBI', 'http://lod.taxonconcept.org/ontology/txn.owl#hasBOLD', 'http://lod.taxonconcept.org/ontology/txn.owl#hasEOL', 'http://lod.taxonconcept.org/ontology/txn.owl#hasGBIF', 'http://www.biopax.org/release/biopax-level3.owl#idVersion', 'http://purl.org/net/hifm/ontology#id', 'http://lod.taxonconcept.org/ontology/txn.owl#canonicalFormID', 'http://purl.org/biodiversity/taxon/canonicalFormID', 'http://lod.taxonconcept.org/ontology/txn.owl#canonicalFormID_Of', 'http://purl.org/biodiversity/taxon/canonicalFormID_Of', 'http://www.biopax.org/release/biopax-level3.owl#cellType']","['txn', 'obo', 'biopax', 'taxon', 'hifm']"
24,uniprot ids,135,"['http://purl.uniprot.org/core/rank', 'http://purl.uniprot.org/core/memberOf', 'http://purl.uniprot.org/core/commonTaxon', 'http://purl.uniprot.org/core/identity', 'http://purl.uniprot.org/core/mnemonic', 'http://purl.uniprot.org/core/representativeFor', 'http://purl.uniprot.org/core/reviewed', 'http://purl.uniprot.org/core/member', 'http://purl.uniprot.org/core/sequenceFor', 'http://purl.uniprot.org/core/length', 'http://purl.uniprot.org/core/organism', 'http://purl.uniprot.org/core/modified', 'http://purl.uniprot.org/core/seedFor', 'http://purl.uniprot.org/core/base', 'http://purl.uniprot.org/core/complete', 'http://purl.uniprot.org/core/component', 'http://purl.uniprot.org/core/conflictingSequence', 'http://purl.uniprot.org/core/encodedBy', 'http://purl.uniprot.org/core/encodedIn', 'http://purl.uniprot.org/core/group', 'http://purl.uniprot.org/core/manual', 'http://purl.uniprot.org/core/measuredAffinity', 'http://purl.uniprot.org/core/part', 'http://purl.uniprot.org/core/participant', 'http://purl.uniprot.org/core/pattern', 'http://purl.uniprot.org/core/publisher', 'http://purl.uniprot.org/core/range', 'http://purl.uniprot.org/core/recommendedName', 'http://purl.uniprot.org/core/shortName', 'http://purl.uniprot.org/core/submittedName', 'http://purl.uniprot.org/core/translatedFrom', 'http://purl.uniprot.org/core/xeno', 'http://purl.uniprot.org/core/allergenName', 'http://purl.uniprot.org/core/alternativeName', 'http://purl.uniprot.org/core/annotation', 'http://purl.uniprot.org/core/attribution', 'http://purl.uniprot.org/core/author', 'http://purl.uniprot.org/core/category', 'http://purl.uniprot.org/core/chain', 'http://purl.uniprot.org/core/checksum', 'http://purl.uniprot.org/core/database', 'http://purl.uniprot.org/core/erratum', 'http://purl.uniprot.org/core/experiments', 'http://purl.uniprot.org/core/height', 'http://purl.uniprot.org/core/host', 'http://purl.uniprot.org/core/limit', 'http://purl.uniprot.org/core/locusName', 'http://purl.uniprot.org/core/measuredValue', 'http://purl.uniprot.org/core/structuredNameType', 'http://purl.uniprot.org/core/substitution', 'http://purl.uniprot.org/core/synonym', 'http://purl.uniprot.org/core/title', 'http://purl.uniprot.org/core/activity', 'http://purl.uniprot.org/core/alias', 'http://purl.uniprot.org/core/atypical', 'http://purl.uniprot.org/core/authorsIncomplete', 'http://purl.uniprot.org/core/basedOn', 'http://purl.uniprot.org/core/cellularComponent', 'http://purl.uniprot.org/core/certain', 'http://purl.uniprot.org/core/classifiedWith', 'http://purl.uniprot.org/core/domain', 'http://purl.uniprot.org/core/end', 'http://purl.uniprot.org/core/fragment', 'http://purl.uniprot.org/core/fused', 'http://purl.uniprot.org/core/internationalNonproprietaryName', 'http://purl.uniprot.org/core/isolatedFrom', 'http://purl.uniprot.org/core/locatedIn', 'http://purl.uniprot.org/core/md5Checksum', 'http://purl.uniprot.org/core/measuredError', 'http://purl.uniprot.org/core/negative', 'http://purl.uniprot.org/core/orientation', 'http://purl.uniprot.org/core/otherName', 'http://purl.uniprot.org/core/partOfLineage', 'http://purl.uniprot.org/core/place', 'http://purl.uniprot.org/core/referenceProteome', 'http://purl.uniprot.org/core/replacedBy', 'http://purl.uniprot.org/core/scope', 'http://purl.uniprot.org/core/strain', 'http://purl.uniprot.org/core/submittedTo', 'http://purl.uniprot.org/core/transcribedFrom', 'http://purl.uniprot.org/core/volume', 'http://purl.uniprot.org/core/begin', 'http://purl.uniprot.org/core/biotechName', 'http://purl.uniprot.org/core/cdAntigenName', 'http://purl.uniprot.org/core/cofactor', 'http://purl.uniprot.org/core/commonName', 'http://purl.uniprot.org/core/crc64Checksum', 'http://purl.uniprot.org/core/created', 'http://purl.uniprot.org/core/domains', 'http://purl.uniprot.org/core/erratumFor', 'http://purl.uniprot.org/core/frameshift', 'http://purl.uniprot.org/core/hits', 'http://purl.uniprot.org/core/interaction', 'http://purl.uniprot.org/core/locatedOn', 'http://purl.uniprot.org/core/mass', 'http://purl.uniprot.org/core/maximum', 'http://purl.uniprot.org/core/name', 'http://purl.uniprot.org/core/obsolete', 'http://purl.uniprot.org/core/partial', 'http://purl.uniprot.org/core/position', 'http://purl.uniprot.org/core/resolution', 'http://purl.uniprot.org/core/sequence', 'http://purl.uniprot.org/core/status', 'http://purl.uniprot.org/core/topology', 'http://purl.uniprot.org/core/abstract', 'http://purl.uniprot.org/core/citation', 'http://purl.uniprot.org/core/context', 'http://purl.uniprot.org/core/date', 'http://purl.uniprot.org/core/ecName', 'http://purl.uniprot.org/core/editor', 'http://purl.uniprot.org/core/enzyme', 'http://purl.uniprot.org/core/existence', 'http://purl.uniprot.org/core/falseNegative', 'http://purl.uniprot.org/core/fullName', 'http://purl.uniprot.org/core/implicit', 'http://purl.uniprot.org/core/indexable', 'http://purl.uniprot.org/core/institution', 'http://purl.uniprot.org/core/locator', 'http://purl.uniprot.org/core/measuredActivity', 'http://purl.uniprot.org/core/method', 'http://purl.uniprot.org/core/modification', 'http://purl.uniprot.org/core/oldMnemonic', 'http://purl.uniprot.org/core/orfName', 'http://purl.uniprot.org/core/pages', 'http://purl.uniprot.org/core/partOf', 'http://purl.uniprot.org/core/precursor', 'http://purl.uniprot.org/core/relatedLocation', 'http://purl.uniprot.org/core/replaces', 'http://purl.uniprot.org/core/scientificName', 'http://purl.uniprot.org/core/source', 'http://purl.uniprot.org/core/structuredName', 'http://purl.uniprot.org/core/translatedTo', 'http://purl.uniprot.org/core/version', 'http://purl.uniprot.org/core/width', 'http://lod.taxonconcept.org/ontology/txn.owl#hasCitation']","['uniprot', 'txn']"
25,pubmed id,18,"['http://purl.obolibrary.org/obo/IAO_0000596', 'http://purl.obolibrary.org/obo/IAO_0000603', 'http://purl.obolibrary.org/obo/IAO_0000599', 'http://purl.obolibrary.org/obo/IAO_0000597', 'http://purl.obolibrary.org/obo/IAO_0000598', 'http://lod.taxonconcept.org/ontology/txn.owl#hasCitation', 'http://lod.taxonconcept.org/ontology/txn.owl#hasITIS', 'http://lod.taxonconcept.org/ontology/txn.owl#hasNCBI', 'http://lod.taxonconcept.org/ontology/txn.owl#hasBOLD', 'http://lod.taxonconcept.org/ontology/txn.owl#hasEOL', 'http://lod.taxonconcept.org/ontology/txn.owl#hasGBIF', 'http://www.biopax.org/release/biopax-level3.owl#idVersion', 'http://purl.org/net/hifm/ontology#id', 'http://lod.taxonconcept.org/ontology/txn.owl#canonicalFormID', 'http://purl.org/biodiversity/taxon/canonicalFormID', 'http://lod.taxonconcept.org/ontology/txn.owl#canonicalFormID_Of', 'http://purl.org/biodiversity/taxon/canonicalFormID_Of', 'http://www.biopax.org/release/biopax-level3.owl#cellType']","['txn', 'obo', 'biopax', 'taxon', 'hifm']"
26,mgd id,17,"['http://purl.obolibrary.org/obo/IAO_0000596', 'http://purl.obolibrary.org/obo/IAO_0000603', 'http://purl.obolibrary.org/obo/IAO_0000599', 'http://purl.obolibrary.org/obo/IAO_0000597', 'http://purl.obolibrary.org/obo/IAO_0000598', 'http://lod.taxonconcept.org/ontology/txn.owl#hasITIS', 'http://lod.taxonconcept.org/ontology/txn.owl#hasNCBI', 'http://lod.taxonconcept.org/ontology/txn.owl#hasBOLD', 'http://lod.taxonconcept.org/ontology/txn.owl#hasEOL', 'http://lod.taxonconcept.org/ontology/txn.owl#hasGBIF', 'http://www.biopax.org/release/biopax-level3.owl#idVersion', 'http://purl.org/net/hifm/ontology#id', 'http://lod.taxonconcept.org/ontology/txn.owl#canonicalFormID', 'http://purl.org/biodiversity/taxon/canonicalFormID', 'http://lod.taxonconcept.org/ontology/txn.owl#canonicalFormID_Of', 'http://purl.org/biodiversity/taxon/canonicalFormID_Of', 'http://www.biopax.org/release/biopax-level3.owl#cellType']","['txn', 'obo', 'biopax', 'taxon', 'hifm']"
27,rgd id,17,"['http://purl.obolibrary.org/obo/IAO_0000596', 'http://purl.obolibrary.org/obo/IAO_0000603', 'http://purl.obolibrary.org/obo/IAO_0000599', 'http://purl.obolibrary.org/obo/IAO_0000597', 'http://purl.obolibrary.org/obo/IAO_0000598', 'http://lod.taxonconcept.org/ontology/txn.owl#hasITIS', 'http://lod.taxonconcept.org/ontology/txn.owl#hasNCBI', 'http://lod.taxonconcept.org/ontology/txn.owl#hasBOLD', 'http://lod.taxonconcept.org/ontology/txn.owl#hasEOL', 'http://lod.taxonconcept.org/ontology/txn.owl#hasGBIF', 'http://www.biopax.org/release/biopax-level3.owl#idVersion', 'http://purl.org/net/hifm/ontology#id', 'http://lod.taxonconcept.org/ontology/txn.owl#canonicalFormID', 'http://purl.org/biodiversity/taxon/canonicalFormID', 'http://lod.taxonconcept.org/ontology/txn.owl#canonicalFormID_Of', 'http://purl.org/biodiversity/taxon/canonicalFormID_Of', 'http://www.biopax.org/release/biopax-level3.owl#cellType']","['txn', 'obo', 'biopax', 'taxon', 'hifm']"
28,lsdb,0,[],[]
29,cosmic,0,[],[]
